,Bunny_Data,Bunnydist,Humidity,Humidity_Data,LightLevel,Light_Data,Temperature,Temperature_Data
-O1RhLJgYMFsYUIsTckj,419.31189,419.31189,70.3,79.6,38.51038,40.21978,31.9,30.2
-O1RhchhwlrBwdKQ4azi,8.08929,419.31189,70.3,79.6,38.51038,85.90965,31.9,30.2
-O1RhoFWOxIq5bDHQiGo,7.57731,419.31189,70.3,79.4,38.51038,85.44566,31.9,30.4
-O1Ri8hxEBNw-lVnkIEO,6.34856,419.31189,70.3,78.5,38.51038,85.56776,31.9,30.6
-O1RiGWKHek19uWFmQ3J,7.27012,419.31189,70.3,77.6,38.51038,85.25031,31.9,30.9
-O1RiT6uopM0zTCJlR-0,6.75814,419.31189,70.3,77.0,38.51038,85.56776,31.9,31.1
-O1RihuOtaRlMh_x22Je,7.8845,419.31189,70.3,76.3,38.51038,85.39683,31.9,31.2
-O1RiwJw_gA6CXlfaewF,6.86054,419.31189,70.3,75.8,38.51038,85.27473,31.9,31.4
-O1RjAJObGXeYGerE2Qr,7.16772,419.31189,70.3,75.3,38.51038,85.15263,31.9,31.6
-O1RjNJWFphmxyrIswr0,7.16772,419.31189,70.3,75.0,38.51038,85.22588,31.9,31.6
-O1RjZ5XBEPf_CR_X6mT,6.75814,419.31189,70.3,74.7,38.51038,85.15263,31.9,31.7
-O1Rjm6nbplDW1lMB6MQ,6.55335,419.31189,70.3,74.7,38.51038,85.0061,31.9,31.8
-O1Rk-W7YiezrAxPXPhU,7.27012,419.31189,70.3,74.6,38.51038,84.85959,31.9,31.8
-O1RkEVw-5JuVNDamv41,7.8845,419.31189,70.3,74.3,38.51038,84.90842,31.9,31.8
-O1RkPVsvfKDhUSdtkxt,6.55335,419.31189,70.3,74.3,38.51038,85.0061,31.9,31.9
-O1RkahVKgHKGT0eHi5n,5.2222,419.31189,70.3,74.1,38.51038,84.83517,31.9,31.9
-O1RkwWA9uI6hFvE_mjW,7.67971,419.31189,70.3,74.1,38.51038,84.81075,31.9,31.9
-O1Rl6iZYNzUEbmca1ZB,6.55335,419.31189,70.3,73.9,38.51038,85.15263,31.9,31.9
-O1RlJuV1HUf2fNoDyuv,6.45095,419.31189,70.3,73.9,38.51038,84.78632,31.9,31.9
-O1RlUJ5aBCDS1RHWJVM,7.98689,419.31189,70.3,73.8,38.51038,84.73749,31.9,31.9
-O1Rlfv3U9q6G6v1nb73,7.06533,419.31189,70.3,73.6,38.51038,84.81075,31.9,32.0
-O1RlsugntcxWBTEyEas,6.55335,419.31189,70.3,73.6,38.51038,84.73749,31.9,32.0
-O1RmhiTiXvWysAQxb43,7.06533,419.31189,70.3,73.7,38.51038,84.49329,31.9,31.9
-O1Rmv73-zH9cXkP4GjJ,7.7821,419.31189,70.3,73.8,38.51038,84.66422,31.9,32.0
-O1Rn5WKhjo8P7rWYD05,6.55335,419.31189,70.3,73.6,38.51038,84.61539,31.9,32.0
-O1RnFJYvBZOWWYIwNPs,6.55335,419.31189,70.3,73.4,38.51038,84.54212,31.9,32.0
-O1RnY6TEyHPXNH4i05i,7.8845,419.31189,70.3,73.3,38.51038,84.42003,31.9,32.1
-O1RnjuLPxbhiUtnSPea,6.75814,419.31189,70.3,73.4,38.51038,84.42003,31.9,32.0
-O1RnuuO95vjDLKRNTyn,6.75814,419.31189,70.3,73.3,38.51038,84.39561,31.9,32.0
-O1RoBueKNtlR7GZd-St,7.06533,419.31189,70.3,73.2,38.51038,84.39561,31.9,32.0
-O1RoM70M0r7EcTvuyrD,6.86054,419.31189,70.3,73.3,38.51038,84.37119,31.9,32.0
-O1Ro_W1dGFm4plywCDG,7.57731,419.31189,70.3,73.4,38.51038,84.37119,31.9,32.0
-O1Romhci_tJmvdMtQDT,7.37252,419.31189,70.3,73.3,38.51038,84.24908,31.9,32.0
-O1RozMXtunrPTK3PVRv,6.55335,419.31189,70.3,73.3,38.51038,84.46886,31.9,32.0
-O1RpCW3_p1omr615b8c,7.06533,419.31189,70.3,73.3,38.51038,84.37119,31.9,32.1
-O1RpQJmgsMOn5PEUIAO,8.08929,419.31189,70.3,73.2,38.51038,84.00488,31.9,32.0
-O1RpbJA2hhYdaAj0mTZ,5.52939,419.31189,70.3,73.2,38.51038,84.32234,31.9,32.0
-O1RpsvQUyJTXwileHT4,7.57731,419.31189,70.3,73.2,38.51038,84.24908,31.9,32.0
-O1RqAWWvlWU3adlP6gT,7.98689,419.31189,70.3,73.2,38.51038,84.17583,31.9,32.0
-O1RqHX3BYV09s3YMI36,6.55335,419.31189,70.3,73.2,38.51038,84.12698,31.9,32.0
-O1RqXVsIb-I5-J4hTjY,6.65574,419.31189,70.3,73.1,38.51038,84.0293,31.9,32.0
-O1RqjiL3lCa-jhub0CR,7.16772,419.31189,70.3,73.1,38.51038,84.00488,31.9,32.0
-O1RqyVzFHq0HMPl4MK3,6.55335,419.31189,70.3,73.1,38.51038,83.98047,31.9,32.0
-O1RrD6Wzc8HqCD2ALP2,6.86054,419.31189,70.3,73.0,38.51038,84.00488,31.9,32.0
-O1RrMWEVNoScJwqdRXs,6.75814,419.31189,70.3,73.1,38.51038,84.00488,31.9,32.0
